Station,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aifat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.795833333,0,10.28666667,56.01666667,86.1475
Alor,0,0,0,0,0,0,0,0,0,0,0,100,95.1525,8.2375,0,0,22.025,56.28583333,85.03583333
Alor Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.064166667,0,22.58083333,54.58666667,84.20333333
Alor Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,8.064166667,96.98916667,0,18.54833333,55.73916667,85.0725
Ambon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84166667,86.1475
Argamakmur,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806666667,44.48916667,0,22.58083333,56.28583333,16.12416667
Arso,0,0,0,0,0,0,0,0,0,0,0,0,0,4.300833333,59.81916667,0,22.58083333,56.28583333,86.1475
Aru,0,0,0,0,0,0,0,0,0,0,0,0,0,2.688333333,98.11833333,0,22.58083333,56.28583333,86.1475
Asem Bagus,0,0,0,0,0,0,0,0,0,0,0,100,77.02666667,8.2375,0,0,0,12.885,82.81416667
Astanajapura,0,0,0,0,0,0,0,0,0,0,0,0,0,13.34166667,43.23666667,0,22.31166667,56.28583333,85.03666667
Atambua,0,0,0,0,0,0,0,0,0,0,0,95.645,95.1525,8.2375,0,0,0,12.885,86.1475
Badung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.29041667,41.33208333,86.01291667
Bahodopi,0,0,0,0,0,0,0,0,0,0,0,0,0,4.578333333,89.175,0,22.58083333,62.62916667,62.9175
Baing,0,0,0,0,0,0,0,0,0,0,0,95.9675,95.9675,8.2375,0,0,0,11.49666667,81.30916667
Bajawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.53,0,22.58083333,57.0925,86.1475
Balaesang,0,0,0,0,0,0,0,0,0,0,0,0,0,2.965833333,97.23833333,0,22.58083333,54.13583333,86.1475
Balaesang Tanjung,0,0,0,0,0,0,0,0,0,0,0,0,0,0.806666667,99.73083333,0,22.58083333,57.36083333,83.19083333
Balai Besar Wilayah III Denpasar Bali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.71166667,50.20083333,84.5075
Balantak,0,0,0,0,0,0,0,0,0,0,0,0,0,2.688333333,99.73083333,0,22.58083333,57.36083333,86.1475
Balikpapan,0,0,0,0,0,0,0,0,0,0,0,100,95.43,8.2375,0,0,0,40.31333333,86.1475
Banawa Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,2.159166667,90.93416667,0,22.58083333,56.28583333,86.1475
Banda Aceh,98.025,99.44416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandar Baru,0,0,0,0,0,0,0,0,0,0,0,0,0,1.075,96.505,0,22.04333333,56.28583333,86.1475
Banding Agung,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8475,97.84916667,0,22.58083333,57.36083333,86.1475
