Station,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
AMG Pondok Betung,61.29,100,100,100,93.55,100,100,100,60,0,0,0,90.32,100,100,100,100,96.67,58.06,35.48,100,100,96.67,61.29,12.9,35.71,70.97,100,100,100,100,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,83.33,96.77
Balai Kota Depok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61,90,100,100,100,100,93.33,96.77,100,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,96.77
Balai Kota Tangsel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,100,100,90.32,96.67,100,100,100,100,100,100,100,100,100,100,96.77,100,100,100,100,100,100,96.77,96.67,100
Balai Pengkajian Teknologi Pertanian (BPTP),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
Balai Wilayah I Medan,45.16,100,74.19,83.33,93.55,100,100,70.97,6.67,0,96.67,100,100,100,100,100,100,93.33,100,100,100,38.71,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
Balai Wilayah II Ciputat,61.29,100,100,86.67,0,90,100,100,100,100,100,100,100,100,100,100,100,96.67,100,90.32,100,100,96.67,83.87,83.87,21.43,96.77,100,100,100,100,87.1,93.33,100,100,96.77,100,100,100,100,100,100,100,100,100,100,100,96.77
Balai Wilayah III Denpasar,58.06,100,100,100,9.68,0,0,0,30,100,100,100,100,100,100,100,100,93.33,100,100,93.33,96.77,96.67,80.65,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
Batan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.26,100,100,93.55,93.33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BMKG I Ruang Kalibrasi Lt. Dasar,61.29,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,96.67,93.55,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
BMKG II Bag. Rumah Tangga Lt. 11,61.29,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,100,100,96.67,58.06,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,90.32,100,100,100,100,96.77
BMKG III Kemayoran Lt. 3,61.29,100,100,100,93.55,100,96.77,93.55,100,100,73.33,0,0,0,0,0,0,30,100,100,100,100,96.67,100,100,64.29,100,100,100,100,100,100,100,83.87,90,100,93.55,100,100,100,100,100,100,100,100,100,100,96.77
BMKG Pusat Gedung C Lantai 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61,96.67,100,100,100,90.32,96.67,93.55,100,83.87,100,100,100,73.33,100,3.23,86.21,100,100,100,46.67,0,0,70,100,100,96.77
BPBD Bantul Yogyakarta,61.29,100,96.77,70,93.55,100,100,100,60,32.26,100,100,100,39.29,0,0,0,0,0,0,100,67.74,96.67,100,100,100,61.29,0,0,0,0,74.19,100,100,100,100,100,100,100,100,96.77,96.67,100,100,100,100,100,96.77
BPBD Bengukulu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61,100,100,93.55,100,100,100,77.42,50,100,100,100,100,100,96.77
BPBD Cilacap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,100,100,90.32,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BPBD Gunung Kidul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,100,100,100,83.87,93.33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BPBD Jembrana,61.29,75,100,96.67,80.65,100,3.23,3.23,96.67,100,100,100,90.32,100,100,100,100,100,58.06,93.55,100,51.61,26.67,35.48,29.03,64.29,87.1,96.67,100,100,100,90.32,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
BPBD KAB CIANJUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.67,96.77,100,6.67,51.61,96.67,100,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,64.52,100,100,100,100,100,100,100,100,96.77
BPBD Kab. Bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
BPBD Kab. Bandung Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
BPBD Kab. Bangli,61.29,100,100,96.67,100,100,100,100,60,96.77,100,100,96.77,100,100,100,100,70,100,100,100,100,23.33,35.48,6.45,3.57,80.65,100,100,100,100,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,96.77
BPBD Kab. Bantul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61,93.33,100,100,96.43,93.55,93.33,100,100,100,77.42,0,0,0,0,0,0,80.65,100,100,100,96.77,100,100,100,100,100
BPBD Kab. BengkuluSelatan,61.29,100,100,100,80.65,96.67,100,93.55,100,100,46.67,48.39,96.77,100,100,100,100,80,51.61,0,0,93.55,96.67,100,100,100,77.42,96.67,100,76.67,3.23,32.26,100,48.39,93.33,12.9,29.03,31.03,77.42,100,100,33.33,90.32,100,100,100,100,96.77
BPBD Kab. BengkuluUtara,0,0,45.16,0,0,0,0,0,0,0,0,29.03,100,42.86,90.32,100,100,80,58.06,0,0,64.52,96.67,100,35.48,10.71,54.84,63.33,80.65,100,100,100,96.67,100,100,100,100,48.28,12.9,0,0,0,0,0,0,0,0,0
BPBD Kab. Rejang Lebong,61.29,82.14,45.16,100,45.16,0,0,0,0,0,86.67,83.87,96.77,0,0,0,0,0,0,0,0,51.61,96.67,100,93.55,100,100,100,100,93.33,100,100,100,100,50,96.77,100,100,100,100,100,73.33,100,100,100,100,96.67,96.77
BPBD Kab. Seluma,61.29,67.86,74.19,33.33,3.23,16.67,48.39,45.16,40,6.45,80,83.87,100,100,100,20,0,0,0,0,3.33,32.26,73.33,100,100,100,100,100,100,100,100,100,100,100,100,100,58.06,0,74.19,100,100,76.67,100,100,100,100,100,96.77
BPBD Kab. Sleman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BPBD Kabupaten Badung,61.29,100,100,96.67,100,100,100,100,96.67,100,100,100,96.77,100,100,100,100,90,67.74,100,100,51.61,26.67,35.48,12.9,64.29,83.87,100,100,100,100,100,100,100,100,100,100,89.66,93.55,100,100,100,100,100,100,100,100,96.77
BPBD Kabupaten Buleleng,61.29,100,100,96.67,64.52,0,29.03,87.1,0,0,53.33,100,96.77,100,100,100,100,63.33,58.06,96.77,100,93.55,26.67,35.48,29.03,64.29,87.1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
BPBD Kabupaten Gianyar,61.29,100,100,96.67,74.19,50,67.74,100,46.67,51.61,13.33,70.97,0,46.43,77.42,100,100,100,100,70.97,86.67,51.61,23.33,35.48,19.35,64.29,83.87,100,100,100,100,90.32,83.33,100,23.33,90.32,100,100,93.55,100,100,100,100,100,100,100,100,96.77
BPBD Kabupaten Tabanan,61.29,100,100,96.67,64.52,100,100,100,96.67,100,100,100,96.77,100,100,100,100,86.67,83.87,74.19,96.67,41.94,30,35.48,12.9,57.14,58.06,100,100,100,100,100,93.33,100,100,100,93.55,89.66,90.32,100,100,100,100,100,100,100,100,100
BPBD Kota Bekasi Utara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,100,86.67,93.55,38.71,50,96.77,96.67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
BPBD Kota Cimahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,90.32,100,100,100,100,100,100,100,100,100,96.77,100,100,96.67,19.35,100,100,100,100,96.77
BPBD Kota Palu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,100,100,100,100,100
BPBD Kota Tangerang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61,93.33,100,100,96.43,80.65,90,100,100,100,100,100,100,100,100,93.55,100,100,100,100,100,100,100,100,100,100,83.87
BPBD Muko Muko,51.61,96.43,100,90,93.55,100,83.87,93.55,80,41.94,3.33,77.42,67.74,67.86,100,100,35.48,33.33,74.19,48.39,73.33,54.84,96.67,100,100,100,100,100,100,93.33,100,100,100,100,70,16.13,100,100,100,100,100,100,100,100,100,100,100,96.77
BPBD Pedurungan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.71,93.33,100,100,100,83.87,93.33,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BPBD Provinsi Bengkulu,61.29,100,100,100,93.55,100,100,100,100,100,100,83.87,100,100,100,100,100,33.33,90.32,100,100,100,96.67,100,100,100,100,100,100,100,100,100,100,100,100,64.52,90.32,100,100,100,100,73.33,100,100,100,100,100,96.77
BPBD Provinsi Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,100,100,100,100,100,100,100,100,100,82.76,100,100,100,100,100,100,100,100,100,96.77
BPBD Provinsi Nusa Tenggara Timur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.58
BPBD Tangerang Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BPBD Yogyakarta (1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.61,96.67,100,100,96.43,87.1,90,96.77,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bupati Kabupaten Administrasi Kepulauan Seribu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.67,100,100,100,100,90,100,100,100,100,100,100,100,100,100,30,54.84,100,35.48
Call Center pusdalpos BPBD Kota Denpasar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.68,0,48.39,100,100,100,100,100,100,100,100,100,100,83.33,100,100,100,100,100,100,100,96.77
Desa Mulya Sejati,61.29,100,100,100,96.77,100,93.55,32.26,0,0,0,0,0,0,0,0,29.03,70,87.1,100,6.67,51.61,96.67,100,96.77,100,100,100,87.1,100,100,100,100,100,100,67.74,100,75.86,87.1,100,100,100,100,100,100,100,100,96.77
Desa Wanasari,0,3.57,25.81,6.67,3.23,0,0,87.1,96.67,90.32,100,96.77,67.74,100,100,93.33,100,96.67,100,100,6.67,51.61,96.67,96.77,96.77,100,100,100,100,100,100,100,100,100,100,100,100,6.9,0,0,0,0,74.19,100,100,3.23,0,0
Dinas Kebakaran & PB Kota Bandung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.77
Dinas Pariwisata Kota Manado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.29,100,100,100,75.86,93.55,100,100,100,100,100,93.33,100,100,100
Dinas Perhubungan (DLLAJR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06,100,100,100,100,96.77,90,100,100,100,100,90,100,100,100,100,100,100,100,100,100,100,100,100,96.77
Diskomminfo Yogyakarta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.03,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
