Station,2021,2022,2023,2024
AMG Pondok Betung,67.90333333,86.54083333,84.6875,98.34166667
Balai Kota Depok,0,20.13416667,98.34166667,99.73083333
Balai Kota Tangsel,0,2.956666667,98.91583333,99.18416667
Balai Pengkajian Teknologi Pertanian (BPTP),0,0,18.54833333,99.73083333
Balai Wilayah I Medan,72.545,94.05916667,100,99.73083333
Balai Wilayah II Ciputat,86.49666667,97.29416667,89.93916667,99.73083333
Balai Wilayah III Denpasar,58.145,96.72916667,100,99.73083333
Batan,0,2.688333333,98.90666667,100
BMKG I Ruang Kalibrasi Lt. Dasar,96.23666667,98.9075,100,99.73083333
BMKG II Bag. Rumah Tangga Lt. 11,96.23666667,95.95,100,98.92416667
BMKG III Kemayoran Lt. 3,84.87416667,52.2225,94.84666667,99.19333333
BMKG Pusat Gedung C Lantai 3,0,20.69,94.81166667,66.90666667
BPBD Bantul Yogyakarta,84.48916667,41.975,61.29,99.18416667
BPBD Bengukulu,0,0,20.9675,93.145
BPBD Cilacap,0,2.419166667,99.19333333,100
BPBD Gunung Kidul,0,9.945833333,98.1,100
BPBD Jembrana,76.395,79.64083333,88.67333333,99.73083333
BPBD KAB CIANJUR,0,44.0325,99.73083333,96.77416667
BPBD Kab. Bandung,0,2.419166667,100,99.73083333
BPBD Kab. Bandung Barat,0,2.419166667,100,99.73083333
BPBD Kab. Bangli,92.89416667,85.465,82.55583333,99.19333333
BPBD Kab. Bantul,0,20.41166667,63.39416667,81.45166667
BPBD Kab. BengkuluSelatan,85.60166667,76.55,70.0725,79.825
BPBD Kab. BengkuluUtara,6.1825,69.36916667,78.47333333,13.43166667
BPBD Kab. Rejang Lebong,42.02416667,28.75416667,94.47083333,97.23083333
BPBD Kab. Seluma,46.70333333,44.07666667,100,83.8075
BPBD Kab. Sleman,0,2.419166667,100,100
BPBD Kabupaten Badung,96.21916667,80.68916667,88.42166667,98.33166667
BPBD Kabupaten Buleleng,57.66166667,80.88583333,90.035,99.73083333
BPBD Kabupaten Gianyar,69.3725,65.9925,79.5675,99.19333333
BPBD Kabupaten Tabanan,93.2625,78.79916667,85.11916667,97.79416667
BPBD Kota Bekasi Utara,0,24.74083333,90.17916667,99.73083333
BPBD Kota Cimahi,0,2.419166667,99.19333333,92.46333333
