Station,2017,2018,2019,2020,2021,2022,2023,2024
Aifat,0,0,0,0,19.0275,20.50166667,91.12,100
Alor,31.12,100,98.65583333,7.545833333,0.555833333,56.11083333,91.38916667,99.16666667
Alor Selatan,0,0,0,0,38.65083333,98.88916667,89.09416667,97.78666667
Alor Timur,0,0,0,40.69,88.42583333,90.215,90.56416667,98.925
Ambon,28.6375,40.59166667,99.19333333,15.43916667,0,0,43.80833333,99.45333333
Anyer,0,0,0,38.8175,95.86916667,27.5,80.675,100
Argamakmur,0,0,0,25.2775,94.4625,99.7225,91.38916667,29.97666667
Argo Pancuran,0,0,0,31.0125,8.064166667,0,37.07833333,98.87833333
Arso,0,0,0,27.68833333,93.71,99.7225,91.38916667,100
Aru,0,0,0,40.43,99.185,99.7225,91.38916667,100
Asem Bagus,0,70.825,20.16166667,0,95.13416667,66.94416667,23.37833333,84.525
Astanajapura,0,0,0,25.2775,88.71,94.28333333,91.38916667,100
Atambua,0,83.33333333,20.16166667,0,95.13416667,66.94416667,23.10916667,94.62333333
Badung,0,0,0,21.15583333,49.73125,16.39791667,77.145,99.86541667
Bahodopi,0,0,0,31.48666667,62.84916667,89.57,83.27916667,74.56666667
Baing,84.51583333,99.19333333,59.14,35.04583333,97.4975,66.94416667,22.545,95.69916667
Bajawa,0,0,0,37.74166667,66.45166667,99.7225,91.38916667,100
Balaesang,0,0,0,42.31166667,98.89583333,99.7225,88.70166667,100
Balaesang Tanjung,0,0,0,42.31166667,99.4625,73.36,91.38916667,97.04333333
Balai Besar Wilayah I Medan,68.41333333,90.53416667,67.94916667,32.85,58.33333333,23.92416667,79.1125,71.02833333
Balai Besar Wilayah II Ciputat,5.475833333,36.29,85.86,50.9325,99.4625,92.9575,85.9675,99.17416667
Balai Besar Wilayah III Denpasar Bali,60.3675,95.19916667,47.85833333,43.30666667,89.78583333,75.05416667,83.125,98.36
Balai Besar Wilayah IV Makassar,79.76666667,92.2425,89.7225,50.9325,97.24916667,90.59166667,83.97,74.42666667
Balai Besar Wilayah V Jayapura,53.66416667,99.73083333,85.045,50.655,83.6475,94.59583333,88.15416667,96.48583333
Balaikota Jakarta,8.073333333,55.8875,74.39083333,34.17666667,99.4625,98.06416667,89.75833333,98.29583333
Balantak,0,0,0,42.31166667,97.67666667,99.7225,91.38916667,100
Balikpapan,0,0,0,0,0,0,73.33333333,100
Banawa Selatan,0,0,0,42.31166667,99.4625,99.7225,91.38916667,100
Banda Aceh,0,0,0,39.59666667,98.925,44.70083333,49.75833333,100
Bandar Baru,0,0,0,39.08583333,92.8225,99.185,91.38916667,99.16666667
Banding Agung,0,0,0,42.31166667,98.8875,99.7225,91.38916667,100
"Banggai Tengah, Banggai Laut",0,0,0,0,0,2.419166667,91.38916667,100
Bangkinang,0,0,0,0,0,16.6575,88.115,100
Bangko,0,0,0,39.85666667,97.79583333,98.11,87.61666667,93.54
Banjar,0,0,0,42.31166667,98.65583333,99.7225,90.79416667,100
Banjarnegara,0,0,0,0,82.25833333,93.44083333,80.55916667,99.7225
Banjarsari,0,0,0,29.13083333,99.4625,93.01083333,88.155,99.13833333
Bantul,0,0,0,0,0,37.24,73.91916667,99.73083333
Banyuglugur,84.79333333,2.419166667,0,0,95.13416667,66.94416667,23.37833333,89.2475
Banyuwangi,57.84083333,0.555833333,0,0,0,0,23.37833333,89.2475
Batukuning Lakitan Ulu,0,0,0,42.31166667,99.4625,99.7225,91.38916667,99.425
Bau Bau,0,0,0,0,90.2775,66.94416667,23.6475,100
Bawang BJR,0,0,0,40.11666667,99.4625,100,90.03666667,98.37833333
