Station,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah II Ciputat,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333,57.51833333,95.01333333,97.82,96.77333333,68.0825,0,0,0
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah III Denpasar,0,0,0,0,0,0,14.13083333,65.6275,76.38,0,88.23916667,70.8775,29.48916667,2.2225,0,0,0,0,0,0,0,0
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah V Jayapura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6325,99.7225,90.7175,97.83083333,96.71,81.17416667,0,0
BMKG Pusat - Kedeputian Geofisika,0,0,0,0,0,0,0,0,0,0,0,0.806666667,0,0,0,0,47.92083333,0,0,0,0,0
Stasiun Geofisika Aceh Besar,0,0,0,0,0,22.29333333,98.91583333,98.35916667,100,92.38416667,79.3975,94.4625,91.3975,98.88916667,100,7.555833333,0,0,0,0,0,0
Stasiun Geofisika Aceh Selatan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.285,95.86833333,91.39666667,0,0,0,0
Stasiun Geofisika Alor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stasiun Geofisika Ambon,0,0,0,0,0,19.86583333,95.34916667,39.42083333,96.70833333,92.12416667,96.15166667,92.075,66.49583333,12.7775,98.8975,88.35916667,0.2775,0,0,0,0,0
Stasiun Geofisika Angkasapura,0,0,0,0,0,0,0,85.25333333,86.11083333,99.4625,96.77416667,100,96.76583333,97.58083333,99.46166667,64.77583333,0,0,0,0,0,0
Stasiun Geofisika Balikpapan,0,0,0,0,0,20.43,95.9675,78.76333333,100,100,100,100,100,100,99.7225,76.88166667,0,0,0,0,0,0
Stasiun Geofisika Bandung,0,27.32916667,97.79333333,98.61916667,100,96.4425,98.92416667,96.95333333,92.37083333,68.43666667,98.91583333,90.85083333,85.24166667,93.61083333,99.185,100,37.63416667,0,0,0,0,0
Stasiun Geofisika Banjarnegara,0,0,0,0,0,27.79583333,81.45166667,100,99.7225,71.61916667,95.905,66.66666667,75.575,99.45333333,100,96.75666667,55.63666667,0,0,0,0,0
Stasiun Geofisika Deli Serdang,0,0,0.269166667,0,0,0,0,0,0,96.76583333,98.86666667,94.10666667,100,99.73083333,100,27.2225,0,0,0,0,0,0
Stasiun Geofisika Denpasar,0,0,0,0,0,27.49166667,99.445,99.46166667,97.3125,100,99.7225,82.48833333,99.4625,41.94416667,0,0,0.269166667,0,0,0,0,0
Stasiun Geofisika Gorontalo,0,0,0,0,0,16.66666667,0,93.97583333,76.215,93.41416667,97.31166667,98.005,97.29333333,93.73333333,100,99.43333333,100,90.56416667,0,0,0,0
Stasiun Geofisika Gowa,0,0,0,0,0,16.66666667,96.1375,100,98.65583333,99.46166667,97.58,98.62833333,100,90.84166667,93.20833333,98.11,48.03583333,0,0,0,0,0
Stasiun Geofisika Gunungsitoli,0,0,0,0,0,0,0,0,5.654166667,84.005,94.08583333,79.30083333,43.27,10,95.89583333,89.97083333,0,0,0,0,0,0
Stasiun Geofisika Kendari,0,0,0,0,0,16.39833333,100,99.46166667,99.18416667,87.33,98.925,99.445,100,100,94.3025,95.76583333,65.59166667,0,0,0,0,0
Stasiun Geofisika Kepahiang,0,0,0,0,0,0,0,0,0,0,0,20.645,98.6375,98.38666667,91.11083333,81.52333333,0,0,0,0,0,0
Stasiun Geofisika Kupang,0,0,0,4.838333333,82.65083333,90.74333333,68.73666667,78.255,99.4625,100,99.45333333,88.05583333,0,0,99.7225,50,0,0,0,0,0,0
Stasiun Geofisika Lampung Utara,0,0,0,0,0,0,0.269166667,0,0,0,0,26.11083333,100,0,100,84.7225,0,0,0,0,0,0
Stasiun Geofisika Malang,0,0,0,0,0,8.610833333,91.66666667,93.8075,98.37833333,99.46166667,99.73083333,97.79166667,0,1.666666667,97.5525,99.185,82.30333333,0,0,0,0,0
Stasiun Geofisika Maluku Tenggara Barat,0,0,0,0,0,0,0,0,0,0,11.28083333,32.79583333,16.3975,13.88,83.86166667,98.1,57.07916667,0,0,0,0,0
Stasiun Geofisika Manado,0,0,0,0,0,0,0,87.98083333,0,57.23083333,98.6375,86.16416667,61.1425,0,52.24,52.3925,0,0,0,0,0,0
Stasiun Geofisika Mataram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.73083333,64.785,0,0,0,0,0,0
Stasiun Geofisika Nabire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stasiun Geofisika Nganjuk,0,0,0,0,0,0,8.333333333,100,100,99.7125,100,100,89.45333333,0,52.2225,73.61833333,68.8775,0,0,0,0,0
Stasiun Geofisika Padang Panjang,0,0,0,0,0,0,0,0,0,0,0,83.35166667,19.14916667,0,33.56583333,50,0,0,0,0,0,0
Stasiun Geofisika Palu,0,0,0,0,0,19.62333333,100,62.31166667,64.785,100,100,100,98.06416667,96.45916667,99.4625,95.34,65.05416667,0,0,0,0,0
Stasiun Geofisika Pasuruan,0,0,0,0,0,28.88916667,84.175,85.15166667,73.23416667,0,24.73083333,98.07083333,99.17583333,34.83833333,50,100,86.38916667,0,0,0,0,0
Stasiun Geofisika Sleman,0,0,0,0,0,28.33333333,98.92416667,99.7025,87.12416667,98.11,97.31166667,99.73083333,91.92666667,99.46166667,98.92416667,75.5375,0,0,0,0,0,0
Stasiun Geofisika Sorong,0,0,0,0,0,19.89333333,100,100,100,100,100,99.45333333,83.06416667,93.27916667,99.16666667,54.53416667,0,0,0,0,0,0
Stasiun Geofisika Sumba Timur,0,0,0,25,100,19.355,100,99.73083333,95.4125,97.31166667,98.3875,99.7225,100,100,97.52666667,49.7225,0,0,0,0,0,0
Stasiun Geofisika Tangerang,0,0,0,0,0,21.505,95.48916667,97.57083333,98.3775,98.91583333,87.7975,100,99.185,53.22583333,88.37666667,91.22333333,21.77416667,0,0,0,0,0
Stasiun Geofisika Ternate,0,0,0,0,0,0,0,47.31166667,98.36916667,98.62833333,92.27666667,100,97.58083333,77.82583333,99.44416667,100,71.0475,0,0,0,0,0
Stasiun Klimatologi Bali,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4175,96.43333333,93.49416667,82.24916667,92.10666667,50.17666667,68.12583333,0,0
Stasiun Klimatologi Bengkulu,0,0,0,0,0,0,0,7.526666667,90.70083333,98.09083333,93.19916667,92.02416667,27.45166667,67.83083333,98.65583333,92.73166667,98.11833333,96.75583333,94.84666667,69.5875,0,0
Stasiun Klimatologi Jawa Barat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.40333333,92.72416667,98.91583333,99.4625,62.34666667,0,0,0
Stasiun Klimatologi Jawa Tengah,0,0,0,0,4.57,0,0,0,0,87.24,88.61916667,78.14916667,83.17083333,60.95833333,58.97166667,96.99666667,98.88916667,97.52583333,78.48583333,56.98416667,0,0
Stasiun Klimatologi Sumatera Selatan,0,0,0,0,0,0,0,0,18.01083333,99.73083333,98.09166667,98.89583333,48.06416667,0.2775,98.38666667,97.56166667,99.4625,99.46166667,71.11083333,0,0,0
Stasiun Meteorologi Andi Jemma,0,0,0,0,0,0,0,0,0,64.4975,89.67166667,88.57583333,50.6025,1.344166667,61.45,90.42916667,84.46166667,64.5325,0,0,0,0
Stasiun Meteorologi Beringin,0,0,0,42.74166667,100,100,100,100,99.7225,97.7775,100,100,87.26666667,100,57.23083333,97.535,98.62833333,98.91583333,91.66666667,0,0,0
Stasiun Meteorologi Depati Amir,0,0,0,0,0,0,0,0,0,0,0,0,0,8.091666667,89.07333333,98.08166667,93.7175,95.605,81.15416667,0,0,0
Stasiun Meteorologi Depati Parbo,0,0,0,0,0,0,0,0,0,0,12.2225,82.24916667,88.14583333,13.88916667,97.795,0.5375,44.94666667,83.6725,0.806666667,0,0,0
Stasiun Meteorologi Frans Kaisiepo,0,0,0,0,0,0,0,0,0,0,0,0,12.83166667,91.335,88.26916667,96.77416667,73.5575,98.10916667,65.87583333,16.61833333,0,0
Stasiun Meteorologi Frans Sales Lega,0,0,0,0,0,0,0,0,0,0,0.269166667,56.16416667,13.06416667,6.720833333,88.24166667,80.64916667,76.20916667,80.56833333,96.16083333,29.7225,0,0
Stasiun Meteorologi Fransiskus Xaverius Seda,0,0,0,0,0,0,0,1.630833333,48.18416667,53.0375,45.37083333,16.12916667,31.41416667,0,3.593333333,85.05416667,83.29666667,86.45833333,77.1425,0,0,0
