Station,2016,2017,2018,2019,2020,2021,2022,2023,2024
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah II Ciputat,0,0,0,0,0,29.75833333,93.50333333,99.4625,95.9675
Balai Besar Meteorologi Klimatologi dan Geofisika Wilayah V Jayapura,0,0,0,0,0,0,16.90833333,100,90.6025
BMKG Pusat - Kedeputian Geofisika,0,0,0,66.12833333,91.08416667,96.22,81.61416667,90.12833333,74.01833333
Stasiun Geofisika Aceh Besar,0,0,38.17166667,98.06416667,52.10833333,98.6,99.73083333,74.7225,87.88416667
Stasiun Geofisika Aceh Selatan,0,0,0.806666667,0,8.064166667,98.925,99.4625,95.41166667,94.02333333
Stasiun Geofisika Alor,0,0,0,84.2075,98.91583333,98.62666667,79.39666667,74.7575,94.3275
Stasiun Geofisika Ambon,0,0,10.55583333,95.37666667,95.09916667,98.62916667,95.8875,98.8875,90.82333333
Stasiun Geofisika Angkasapura,0,0,34.14,100,100,100,95.4025,98.85833333,92.4175
Stasiun Geofisika Balikpapan,0,0,23.11833333,100,100,99.7025,99.73083333,100,87.105
Stasiun Geofisika Bandung,0,0,0,61.55916667,99.44416667,100,99.73083333,99.45333333,95.68166667
Stasiun Geofisika Banjarnegara,0,0,0,43.26083333,98.6375,100,98.09083333,99.19333333,92.955
Stasiun Geofisika Deli Serdang,0,0,0,0,1.881666667,99.44416667,72.42,89.13,94.8
Stasiun Geofisika Denpasar,50.805,94.355,99.165,100,99.44333333,100,99.73083333,99.73083333,96.23666667
Stasiun Geofisika Gorontalo,0,0,0,0,7.526666667,98.62833333,98.6175,100,94.605
Stasiun Geofisika Gowa,0,0,0,0,16.09416667,98.37,98.6375,99.7025,87.89416667
Stasiun Geofisika Gunungsitoli,0,0,0,0,3.055833333,86.47,98.3875,99.18416667,95.43
Stasiun Geofisika Kendari,0,0,0,33.31416667,98.06416667,97.765,99.4625,100,92.92083333
Stasiun Geofisika Kepahiang,0,0,0,0,24.45333333,99.45333333,100,99.43333333,91.69416667
Stasiun Geofisika Kupang,0,0,49.4625,95.2775,95.68166667,55.31333333,98.38666667,99.1075,94.3275
Stasiun Geofisika Lampung Utara,0,0,15.2775,97.84083333,99.18416667,99.4625,99.44416667,99.73083333,95.9675
Stasiun Geofisika Malang,0,0,0,13.62916667,99.185,96.75583333,89.4275,99.43333333,97.55416667
Stasiun Geofisika Maluku Tenggara Barat,0,0,0,0,13.95166667,90.74083333,88.78166667,96.425,95.09833333
Stasiun Geofisika Manado,0,0,41.085,98.11833333,97.58,83.85166667,95.33166667,96.44,88.9325
Stasiun Geofisika Mataram,0,0,0,0,15.55583333,98.62666667,97.79583333,99.46166667,94.005
Stasiun Geofisika Nabire,0,0,0,0,6.451666667,53.16166667,0,74.9475,95.43
Stasiun Geofisika Nganjuk,0,0,0,28.94333333,97.01666667,99.4625,98.62833333,100,94.8475
Stasiun Geofisika Padang Panjang,0,0,0,0,16.11083333,95.06,93.455,88.575,93.79916667
Stasiun Geofisika Palu,0,0,0,31.1825,98.09166667,97.2575,98.0625,99.7225,95.16166667
Stasiun Geofisika Pasuruan,0,0,0,13.61083333,98.62,98.36,99.7225,99.4625,99.46166667
Stasiun Geofisika Sleman,0,0,24.4625,99.7225,96.505,97.24916667,99.46166667,99.44416667,94.3275
Stasiun Geofisika Sorong,0,0,0,0,13.62916667,96.76583333,99.45333333,96.98,91.9175
